our_faction,barb_faction,budget,spacing,scenario,mix,margin,sd,sem,wins_of
Armada,Armada,3000,160,base12-hold,t1+sptk,-0.344,0.009,0.002,0/24
Armada,Armada,3000,160,base12-hold,t1+snipe,-0.39,0.0,0.0,0/24
Armada,Armada,3000,160,base12-hold,t1+fboy,0.441,0.003,0.001,24/24
Armada,Armada,3000,160,base12-hold,zeus+fido,-0.377,0.01,0.002,0/24
Armada,Armada,3000,160,base12-hold,zeus+sptk,-0.37,0.002,0.0,0/24
Armada,Armada,3000,160,base12-hold,zeus+snipe,-0.379,0.004,0.001,0/24
Armada,Armada,3000,160,base12-hold,mace+zeus,-0.388,0.019,0.004,0/24
Armada,Armada,3000,160,base12-hold,t1+zeus+fido,-0.39,0.0,0.0,0/24
Armada,Armada,3000,160,base12-hold,t1+zeus(25),-0.371,0.003,0.001,0/24
Armada,Armada,3000,160,base12-hold,t1+zeus(75),-0.292,0.006,0.001,0/24
Armada,Armada,3000,56,base12-out,t1-line,-0.546,0.026,0.005,0/24
Armada,Armada,3000,56,base12-out,t1-mace,-0.56,0.01,0.002,0/24
Armada,Armada,3000,56,base12-out,zeus,-0.585,0.008,0.002,0/24
Armada,Armada,3000,56,base12-out,mav,-0.62,0.0,0.0,0/24
Armada,Armada,3000,56,base12-out,fido,-0.442,0.029,0.006,0/24
Armada,Armada,3000,56,base12-out,sptk,-0.441,0.164,0.033,0/24
Armada,Armada,3000,56,base12-out,snipe,-1.0,0.0,0.0,0/24
Armada,Armada,3000,56,base12-out,fboy,0.695,0.069,0.014,24/24
Armada,Armada,3000,56,base12-out,fast,-0.62,0.01,0.002,0/24
Armada,Armada,3000,56,base12-out,amph,-0.587,0.009,0.002,0/24
Armada,Armada,3000,56,base12-out,t1+zeus,-0.532,0.009,0.002,0/24
Armada,Armada,3000,56,base12-out,t1+mav,-0.6,0.016,0.003,0/24
Armada,Armada,3000,56,base12-out,t1+fido,-0.453,0.044,0.009,0/24
Armada,Armada,3000,56,base12-out,t1+sptk,-0.426,0.145,0.03,0/24
Armada,Armada,3000,56,base12-out,t1+snipe,-0.56,0.007,0.001,0/24
Armada,Armada,3000,56,base12-out,t1+fboy,0.21,0.067,0.014,24/24
Armada,Armada,3000,56,base12-out,zeus+fido,-0.463,0.018,0.004,0/24
Armada,Armada,3000,56,base12-out,zeus+sptk,-0.249,0.081,0.017,0/24
Armada,Armada,3000,56,base12-out,zeus+snipe,-0.59,0.0,0.0,0/24
Armada,Armada,3000,56,base12-out,mace+zeus,-0.57,0.01,0.002,0/24
Armada,Armada,3000,56,base12-out,t1+zeus+fido,-0.498,0.018,0.004,0/24
Armada,Armada,3000,56,base12-out,t1+zeus(25),-0.559,0.023,0.005,0/24
Armada,Armada,3000,56,base12-out,t1+zeus(75),-0.57,0.019,0.004,0/24
Armada,Armada,3000,160,base12-out,t1-line,-0.364,0.015,0.003,0/24
Armada,Armada,3000,160,base12-out,t1-mace,-0.405,0.023,0.005,0/24
Armada,Armada,3000,160,base12-out,zeus,-0.232,0.006,0.001,0/24
Armada,Armada,3000,160,base12-out,mav,-0.458,0.033,0.007,0/24
Armada,Armada,3000,160,base12-out,fido,-0.554,0.069,0.014,0/24
Armada,Armada,3000,160,base12-out,sptk,-0.54,0.053,0.011,0/24
Armada,Armada,3000,160,base12-out,snipe,-0.93,0.0,0.0,0/24
Armada,Armada,3000,160,base12-out,fboy,0.475,0.034,0.007,24/24
Armada,Armada,3000,160,base12-out,fast,-0.538,0.058,0.012,0/24
Armada,Armada,3000,160,base12-out,amph,-0.395,0.008,0.002,0/24
Armada,Armada,3000,160,base12-out,t1+zeus,-0.312,0.018,0.004,0/24
Armada,Armada,3000,160,base12-out,t1+mav,-0.427,0.022,0.005,0/24
Armada,Armada,3000,160,base12-out,t1+fido,-0.333,0.012,0.003,0/24
Armada,Armada,3000,160,base12-out,t1+sptk,-0.29,0.048,0.01,0/24
Armada,Armada,3000,160,base12-out,t1+snipe,-0.365,0.117,0.024,0/24
Armada,Armada,3000,160,base12-out,t1+fboy,0.29,0.1,0.02,24/24
Armada,Armada,3000,160,base12-out,zeus+fido,-0.291,0.006,0.001,0/24
Armada,Armada,3000,160,base12-out,zeus+sptk,-0.267,0.016,0.003,0/24
Armada,Armada,3000,160,base12-out,zeus+snipe,-0.27,0.0,0.0,0/24
Armada,Armada,3000,160,base12-out,mace+zeus,-0.278,0.009,0.002,0/24
Armada,Armada,3000,160,base12-out,t1+zeus+fido,-0.312,0.014,0.003,0/24
Armada,Armada,3000,160,base12-out,t1+zeus(25),-0.34,0.005,0.001,0/24
Armada,Armada,3000,160,base12-out,t1+zeus(75),-0.263,0.012,0.002,0/24
Armada,Armada,6000,56,field20,t1-line,0.262,0.079,0.016,24/24
Armada,Armada,6000,56,field20,t1-mace,0.0,0.08,0.016,16/24
Armada,Armada,6000,56,field20,zeus,-0.333,0.028,0.006,0/24
Armada,Armada,6000,56,field20,mav,-0.309,0.028,0.006,0/24
Armada,Armada,6000,56,field20,fido,0.477,0.077,0.016,24/24
Armada,Armada,6000,56,field20,sptk,-0.357,0.191,0.039,2/24
Armada,Armada,6000,56,field20,snipe,-0.87,0.0,0.0,0/24
Armada,Armada,6000,56,field20,fboy,0.625,0.07,0.014,24/24
Armada,Armada,6000,56,field20,fast,-0.64,0.022,0.004,0/24
Armada,Armada,6000,56,field20,amph,-0.575,0.011,0.002,0/24
Armada,Armada,6000,56,field20,t1+zeus,0.187,0.049,0.01,24/24
Armada,Armada,6000,56,field20,t1+mav,-0.114,0.087,0.018,3/24
Armada,Armada,6000,56,field20,t1+fido,0.381,0.099,0.02,24/24
Armada,Armada,6000,56,field20,t1+sptk,-0.136,0.137,0.028,5/24
Armada,Armada,6000,56,field20,t1+snipe,-0.265,0.055,0.011,0/24
Armada,Armada,6000,56,field20,t1+fboy,0.166,0.161,0.033,22/24
Armada,Armada,6000,56,field20,zeus+fido,0.327,0.156,0.032,24/24
Armada,Armada,6000,56,field20,zeus+sptk,0.275,0.072,0.015,24/24
Armada,Armada,6000,56,field20,zeus+snipe,-0.381,0.017,0.003,0/24
Armada,Armada,6000,56,field20,mace+zeus,0.171,0.089,0.018,24/24
Armada,Armada,6000,56,field20,t1+zeus+fido,0.371,0.046,0.009,24/24
Armada,Armada,6000,56,field20,t1+zeus(25),0.089,0.049,0.01,23/24
