match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
3,1,10,armpw,corwolv,1,east,0,22,7,1188,1190,x,wiped,16.0,8.5,22,0,0.818,0.000,1545,5289
2,0,15,corraid,corraid,2,west,1,5,5,1175,1175,draw,wiped,47.5,8.5,0,0,0.000,0.000,10719,10682
3,0,11,corthud,corllt,1,east,0,9,14,1260,1260,x,wiped,46.0,16.0,7,0,0.561,0.000,4457,9963
2,1,19,armjanus,corraid,0,west,0,5,5,1200,1175,y,wiped,25.5,9.0,0,3,0.000,0.108,5672,9485
2,0,16,armrock,corgator,1,east,0,10,10,1200,1200,y,wiped,22.0,8.0,0,10,0.000,0.596,7420,3436
3,1,11,armrock,armjanus,2,west,1,10,5,1200,1200,x,wiped,33.0,10.0,3,0,0.150,0.000,7009,5544
3,0,12,armham,armjeth,2,west,1,9,9,1170,1125,x,wiped,20.5,9.5,9,0,0.996,0.000,40,6576
2,1,20,armpw,corak,3,east,1,23,29,1242,1247,x,wiped,23.5,6.0,7,0,0.130,0.000,7828,8590
2,0,17,armjeth,armjanus,1,east,0,10,5,1250,1200,y,wiped,25.5,10.0,0,5,0.000,0.981,7512,101
3,0,13,armwar,armstump,1,east,0,5,6,1350,1350,x,wiped,27.5,7.5,4,0,0.119,0.000,7290,11212
2,0,18,armwar,corak,3,east,1,4,25,1080,1075,x,wiped,20.0,6.5,4,0,0.459,0.000,3555,7378
2,1,21,corstorm,corstorm,2,west,1,11,11,1210,1210,x,wiped,64.5,10.0,2,0,0.042,0.000,8523,9235
2,0,19,corstorm,corlevlr,3,east,1,10,5,1100,1100,y,wiped,22.5,10.5,0,5,0.000,0.651,8351,2528
3,0,14,armham,armjanus,0,west,0,11,6,1430,1440,x,wiped,26.0,10.5,5,0,0.431,0.000,7436,6924
3,1,12,corwolv,corllt,2,west,1,8,15,1360,1350,y,wiped,73.5,16.0,0,8,0.000,0.438,6187,6819
2,1,22,armjeth,armstump,1,east,0,9,5,1125,1125,y,wiped,28.0,8.5,0,5,0.000,0.753,5914,2334
3,1,13,armart,corgator,2,west,1,8,9,1080,1080,y,wiped,18.5,8.0,0,9,0.000,0.697,5016,2377
