match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
5,0,5,armpw,armwar,3,east,1,20,4,1080,1080,y,wiped,27.5,7.0,0,2,0.000,0.377,7781,4136
4,0,13,armwar,armllt,5,east,0,5,16,1350,1360,x,wiped,30.5,16.5,5,0,0.593,0.000,3252,10305
5,1,6,armflash,armflash,5,east,0,11,11,1210,1210,y,wiped,28.0,6.5,0,2,0.000,0.090,8399,7599
5,0,6,armstump,corfav,1,east,0,5,43,1125,1118,x,wiped,16.5,6.0,5,0,0.525,0.000,4437,5805
4,1,12,armrock,corak,4,west,0,10,28,1200,1204,y,wiped,35.5,7.5,0,3,0.000,0.071,7654,9562
4,0,14,armart,corraid,3,east,1,7,4,945,940,y,wiped,27.0,9.5,0,4,0.000,0.498,4805,4198
4,1,13,armrock,armart,1,east,0,9,8,1080,1080,x,wiped,25.0,10.0,6,0,0.492,0.000,3679,5428
5,1,7,corcrash,corfav,5,east,0,10,48,1250,1248,y,wiped,32.0,6.5,0,45,0.000,0.809,6447,883
4,0,15,corcrash,corraid,0,west,0,11,6,1375,1410,y,wiped,28.0,9.0,0,6,0.000,0.766,7817,2940
5,0,7,corstorm,armstump,6,west,1,10,5,1100,1125,y,wiped,46.0,9.5,0,2,0.000,0.102,8258,8573
4,1,14,armham,corfav,2,west,1,9,45,1170,1170,x,wiped,15.5,6.5,9,0,0.602,0.000,3741,6495
5,1,8,corraid,corwolv,5,east,0,5,7,1175,1190,x,wiped,26.5,9.5,5,0,0.441,0.000,5770,5449
5,0,8,armflash,armfav,3,east,1,11,39,1210,1209,x,wiped,14.5,4.5,10,0,0.525,0.000,3940,4377
